menu,weather,corr,month
milmyeon_with_mandu,avgPa,0.06594058585362111,2
milmyeon_only,avgPa,-0.030169965034057746,2
delivery,avgPa,0.036708448851758835,2
side_menu,avgPa,0.08358093092090076,2
drinks_alcohol,avgPa,-0.06960689643778781,2
product_sales,avgPa,-0.07127994077687133,2
kalguksu,avgPa,-0.12102605229762393,2
takeaway,avgPa,-0.17289231064366758,2
total,diurnal_range,0.2555598649423708,2
hot_milmyeon,diurnal_range,0.03669554122427903,2
milmyeon_with_mandu,diurnal_range,0.22335507788405096,2
milmyeon_only,diurnal_range,0.1662025438870425,2
delivery,diurnal_range,-0.017323224031604814,2
side_menu,diurnal_range,0.086146787720701,2
drinks_alcohol,diurnal_range,0.14570502024011314,2
product_sales,diurnal_range,-0.03519582089823061,2
kalguksu,diurnal_range,0.09551277964434712,2
takeaway,diurnal_range,0.0873960060758737,2
total,rain_bool,-0.07403860552086543,2
hot_milmyeon,rain_bool,0.06014964369353516,2
milmyeon_with_mandu,rain_bool,-0.13114543333409115,2
milmyeon_only,rain_bool,0.04893085437388329,2
delivery,rain_bool,-0.10314983613772008,2
side_menu,rain_bool,0.050423009072613136,2
drinks_alcohol,rain_bool,0.019476244281775024,2
product_sales,rain_bool,-0.0844687832487815,2
kalguksu,rain_bool,-0.14608812547414568,2
takeaway,rain_bool,-0.14934924264260246,2
total,feel_temp,0.3047873926117705,2
hot_milmyeon,feel_temp,0.18137743750177668,2
milmyeon_with_mandu,feel_temp,0.2560315339613353,2
milmyeon_only,feel_temp,0.17531471390054412,2
delivery,feel_temp,-0.08930789657240319,2
side_menu,feel_temp,0.10737101662679542,2
drinks_alcohol,feel_temp,0.09723428255370924,2
product_sales,feel_temp,0.003901215296777191,2
kalguksu,feel_temp,-0.07557861438947186,2
takeaway,feel_temp,0.018625159945307272,2
total,avgTa,0.36765267595822115,3
hot_milmyeon,avgTa,-0.18795746536022026,3
milmyeon_with_mandu,avgTa,0.38762788144600097,3
milmyeon_only,avgTa,0.26530149635039446,3
delivery,avgTa,0.02184815672639136,3
side_menu,avgTa,0.15114494221230498,3
drinks_alcohol,avgTa,0.30355401976193824,3
product_sales,avgTa,-0.0807403912766687,3
kalguksu,avgTa,,3
takeaway,avgTa,-0.07309149948315882,3
total,avgWs,-0.022744903304314782,3
hot_milmyeon,avgWs,0.023733003341799702,3
milmyeon_with_mandu,avgWs,-0.03891048768236328,3
milmyeon_only,avgWs,-0.0062217403946977405,3
delivery,avgWs,-0.040259755028708925,3
side_menu,avgWs,0.023893693023666274,3
drinks_alcohol,avgWs,0.07480297759480833,3
product_sales,avgWs,-0.044286259024061865,3
kalguksu,avgWs,,3
takeaway,avgWs,-0.03033890465399456,3
total,maxTa,0.45985183842886823,3
hot_milmyeon,maxTa,-0.1254475424339953,3
milmyeon_with_mandu,maxTa,0.4540463529064202,3
milmyeon_only,maxTa,0.32302569549969484,3
delivery,maxTa,0.029765695047732247,3
side_menu,maxTa,0.2210992946822972,3
drinks_alcohol,maxTa,0.34610729009588576,3
product_sales,maxTa,-0.03742325603569241,3
kalguksu,maxTa,,3
takeaway,maxTa,-0.029342934431240135,3
total,minTa,0.2555082839868604,3
hot_milmyeon,minTa,-0.21987929327884959,3
milmyeon_with_mandu,minTa,0.29480843118883016,3
milmyeon_only,minTa,0.190495897267037,3
delivery,minTa,0.012804808661110865,3
side_menu,minTa,0.08577747869462611,3
drinks_alcohol,minTa,0.23527681085520408,3
product_sales,minTa,-0.10564618484147431,3
kalguksu,minTa,,3
takeaway,minTa,-0.11652402818105428,3
total,avgRhm,-0.14655464196002269,3
hot_milmyeon,avgRhm,-0.08324595071206357,3
milmyeon_with_mandu,avgRhm,-0.04612575409146471,3
milmyeon_only,avgRhm,-0.1484484577682411,3
delivery,avgRhm,-0.053270338576727104,3
side_menu,avgRhm,-0.17249839270234835,3
drinks_alcohol,avgRhm,-0.07777538914494828,3
product_sales,avgRhm,-0.09444178431315718,3
kalguksu,avgRhm,,3
takeaway,avgRhm,-0.06313906415626759,3
total,avgTs,0.3968468513029041,3
hot_milmyeon,avgTs,0.004207439722226207,3
milmyeon_with_mandu,avgTs,0.3241694908818276,3
milmyeon_only,avgTs,0.3187792331005653,3
delivery,avgTs,0.012797820546515126,3
side_menu,avgTs,0.22090913525741598,3
drinks_alcohol,avgTs,0.33202188876655336,3
product_sales,avgTs,-0.17946799756703402,3
kalguksu,avgTs,,3
takeaway,avgTs,0.08408235881927806,3
total,sumGsr,0.31668862193947817,3
hot_milmyeon,sumGsr,0.027436948862518976,3
milmyeon_with_mandu,sumGsr,0.31304726497556945,3
